folio,planta,uso_medico,palabra_eva,familia,significado_probable,longitud
137V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 137,nan,desconocida,pendiente,3
138R,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 138,nan,desconocida,pendiente,3
138V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 138,nan,desconocida,pendiente,3
139R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 139,nan,desconocida,pendiente,3
139V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 139,nan,desconocida,pendiente,3
140R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 140,nan,desconocida,pendiente,3
140V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 140,nan,desconocida,pendiente,3
141R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 141,nan,desconocida,pendiente,3
141V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 141,nan,desconocida,pendiente,3
142R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 142,nan,desconocida,pendiente,3
142V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 142,nan,desconocida,pendiente,3
143R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 143,nan,desconocida,pendiente,3
143V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 143,nan,desconocida,pendiente,3
144R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 144,nan,desconocida,pendiente,3
144V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 144,nan,desconocida,pendiente,3
145R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 145,nan,desconocida,pendiente,3
145V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 145,nan,desconocida,pendiente,3
146R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 146,nan,desconocida,pendiente,3
146V,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 146,nan,desconocida,pendiente,3
147R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 147,nan,desconocida,pendiente,3
147V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 147,nan,desconocida,pendiente,3
148R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 148,nan,desconocida,pendiente,3
148V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 148,nan,desconocida,pendiente,3
149R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 149,nan,desconocida,pendiente,3
149V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 149,nan,desconocida,pendiente,3
150R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 150,nan,desconocida,pendiente,3
150V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 150,nan,desconocida,pendiente,3
151R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 151,nan,desconocida,pendiente,3
151V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 151,nan,desconocida,pendiente,3
152R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 152,nan,desconocida,pendiente,3
152V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 152,nan,desconocida,pendiente,3
153R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 153,nan,desconocida,pendiente,3
153V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 153,nan,desconocida,pendiente,3
154R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 154,nan,desconocida,pendiente,3
154V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 154,nan,desconocida,pendiente,3
155R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 155,nan,desconocida,pendiente,3
155V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 155,nan,desconocida,pendiente,3
156R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 156,nan,desconocida,pendiente,3
156V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 156,nan,desconocida,pendiente,3
157R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 157,nan,desconocida,pendiente,3
157V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 157,nan,desconocida,pendiente,3
158R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 158,nan,desconocida,pendiente,3
158V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 158,nan,desconocida,pendiente,3
159R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 159,nan,desconocida,pendiente,3
159V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 159,nan,desconocida,pendiente,3
160R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 160,nan,desconocida,pendiente,3
160V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 160,nan,desconocida,pendiente,3
161R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 161,nan,desconocida,pendiente,3
161V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 161,nan,desconocida,pendiente,3
162R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 162,nan,desconocida,pendiente,3
162V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 162,nan,desconocida,pendiente,3
163R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 163,nan,desconocida,pendiente,3
163V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 163,nan,desconocida,pendiente,3
164R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 164,nan,desconocida,pendiente,3
164V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 164,nan,desconocida,pendiente,3
165R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 165,nan,desconocida,pendiente,3
165V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 165,nan,desconocida,pendiente,3
166R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 166,nan,desconocida,pendiente,3
166V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 166,nan,desconocida,pendiente,3
167R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 167,nan,desconocida,pendiente,3
167V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 167,nan,desconocida,pendiente,3
168R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 168,nan,desconocida,pendiente,3
168V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 168,nan,desconocida,pendiente,3
169R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 169,nan,desconocida,pendiente,3
169V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 169,nan,desconocida,pendiente,3
170R,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 170,nan,desconocida,pendiente,3
170V,Calendula officinalis,Geometría sagrada y resonancia - protocolo folio 170,nan,desconocida,pendiente,3
171R,Verbascum thapsus,Medicina astrológica - protocolo folio 171,nan,desconocida,pendiente,3
171V,Verbascum thapsus,Medicina astrológica - protocolo folio 171,nan,desconocida,pendiente,3
172R,Verbascum thapsus,Medicina astrológica - protocolo folio 172,nan,desconocida,pendiente,3
172V,Artemisia vulgaris,Medicina astrológica - protocolo folio 172,nan,desconocida,pendiente,3
173R,Verbascum thapsus,Medicina astrológica - protocolo folio 173,nan,desconocida,pendiente,3
173V,Artemisia vulgaris,Medicina astrológica - protocolo folio 173,nan,desconocida,pendiente,3
174R,Verbascum thapsus,Medicina astrológica - protocolo folio 174,nan,desconocida,pendiente,3
174V,Verbascum thapsus,Medicina astrológica - protocolo folio 174,nan,desconocida,pendiente,3
175R,Artemisia vulgaris,Medicina astrológica - protocolo folio 175,nan,desconocida,pendiente,3
175V,Artemisia vulgaris,Medicina astrológica - protocolo folio 175,nan,desconocida,pendiente,3
176R,Verbascum thapsus,Medicina astrológica - protocolo folio 176,nan,desconocida,pendiente,3
176V,Verbascum thapsus,Medicina astrológica - protocolo folio 176,nan,desconocida,pendiente,3
177R,Verbascum thapsus,Medicina astrológica - protocolo folio 177,nan,desconocida,pendiente,3
177V,Artemisia vulgaris,Medicina astrológica - protocolo folio 177,nan,desconocida,pendiente,3
178R,Verbascum thapsus,Medicina astrológica - protocolo folio 178,nan,desconocida,pendiente,3
178V,Verbascum thapsus,Medicina astrológica - protocolo folio 178,nan,desconocida,pendiente,3
179R,Verbascum thapsus,Medicina astrológica - protocolo folio 179,nan,desconocida,pendiente,3
179V,Artemisia vulgaris,Medicina astrológica - protocolo folio 179,nan,desconocida,pendiente,3
180R,Artemisia vulgaris,Medicina astrológica - protocolo folio 180,nan,desconocida,pendiente,3
180V,Verbascum thapsus,Medicina astrológica - protocolo folio 180,nan,desconocida,pendiente,3
181R,Artemisia vulgaris,Medicina astrológica - protocolo folio 181,nan,desconocida,pendiente,3
181V,Artemisia vulgaris,Medicina astrológica - protocolo folio 181,nan,desconocida,pendiente,3
182R,Artemisia vulgaris,Medicina astrológica - protocolo folio 182,nan,desconocida,pendiente,3
182V,Artemisia vulgaris,Medicina astrológica - protocolo folio 182,nan,desconocida,pendiente,3
183R,Viola odorata,Correspondencia entre abadesas - protocolo folio 183,nan,desconocida,pendiente,3
183V,Viola odorata,Correspondencia entre abadesas - protocolo folio 183,nan,desconocida,pendiente,3
184R,Viola odorata,Correspondencia entre abadesas - protocolo folio 184,nan,desconocida,pendiente,3
184V,Borago officinalis,Correspondencia entre abadesas - protocolo folio 184,nan,desconocida,pendiente,3
185R,Viola odorata,Correspondencia entre abadesas - protocolo folio 185,nan,desconocida,pendiente,3
185V,Viola odorata,Correspondencia entre abadesas - protocolo folio 185,nan,desconocida,pendiente,3
186R,Viola odorata,Correspondencia entre abadesas - protocolo folio 186,nan,desconocida,pendiente,3
186V,Viola odorata,Correspondencia entre abadesas - protocolo folio 186,nan,desconocida,pendiente,3
187R,Borago officinalis,Correspondencia entre abadesas - protocolo folio 187,nan,desconocida,pendiente,3
187V,Borago officinalis,Correspondencia entre abadesas - protocolo folio 187,nan,desconocida,pendiente,3
188R,Viola odorata,Correspondencia entre abadesas - protocolo folio 188,nan,desconocida,pendiente,3
188V,Viola odorata,Correspondencia entre abadesas - protocolo folio 188,nan,desconocida,pendiente,3
189R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 189,nan,desconocida,pendiente,3
189V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 189,nan,desconocida,pendiente,3
190R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 190,nan,desconocida,pendiente,3
190V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 190,nan,desconocida,pendiente,3
191R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 191,nan,desconocida,pendiente,3
191V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 191,nan,desconocida,pendiente,3
192R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 192,nan,desconocida,pendiente,3
192V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 192,nan,desconocida,pendiente,3
193R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 193,nan,desconocida,pendiente,3
193V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 193,nan,desconocida,pendiente,3
194R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 194,nan,desconocida,pendiente,3
194V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 194,nan,desconocida,pendiente,3
195R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 195,nan,desconocida,pendiente,3
195V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 195,nan,desconocida,pendiente,3
196R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 196,nan,desconocida,pendiente,3
196V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 196,nan,desconocida,pendiente,3
197R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 197,nan,desconocida,pendiente,3
197V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 197,nan,desconocida,pendiente,3
198R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 198,nan,desconocida,pendiente,3
198V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 198,nan,desconocida,pendiente,3
199R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 199,nan,desconocida,pendiente,3
199V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 199,nan,desconocida,pendiente,3
200R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 200,nan,desconocida,pendiente,3
200V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 200,nan,desconocida,pendiente,3
201R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 201,nan,desconocida,pendiente,3
201V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 201,nan,desconocida,pendiente,3
202R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 202,nan,desconocida,pendiente,3
202V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 202,nan,desconocida,pendiente,3
203R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 203,nan,desconocida,pendiente,3
203V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 203,nan,desconocida,pendiente,3
204R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 204,nan,desconocida,pendiente,3
204V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 204,nan,desconocida,pendiente,3
205R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 205,nan,desconocida,pendiente,3
205V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 205,nan,desconocida,pendiente,3
206R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 206,nan,desconocida,pendiente,3
206V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 206,nan,desconocida,pendiente,3
207R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 207,nan,desconocida,pendiente,3
207V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 207,nan,desconocida,pendiente,3
208R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 208,nan,desconocida,pendiente,3
208V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 208,nan,desconocida,pendiente,3
209R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 209,nan,desconocida,pendiente,3
209V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 209,nan,desconocida,pendiente,3
210R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 210,nan,desconocida,pendiente,3
210V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 210,nan,desconocida,pendiente,3
211R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 211,nan,desconocida,pendiente,3
211V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 211,nan,desconocida,pendiente,3
212R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 212,nan,desconocida,pendiente,3
212V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 212,nan,desconocida,pendiente,3
213R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 213,nan,desconocida,pendiente,3
213V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 213,nan,desconocida,pendiente,3
214R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 214,nan,desconocida,pendiente,3
214V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 214,nan,desconocida,pendiente,3
215R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 215,nan,desconocida,pendiente,3
215V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 215,nan,desconocida,pendiente,3
216R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 216,nan,desconocida,pendiente,3
216V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 216,nan,desconocida,pendiente,3
217R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 217,nan,desconocida,pendiente,3
217V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 217,nan,desconocida,pendiente,3
218R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 218,nan,desconocida,pendiente,3
218V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 218,nan,desconocida,pendiente,3
219R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 219,nan,desconocida,pendiente,3
219V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 219,nan,desconocida,pendiente,3
220R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 220,nan,desconocida,pendiente,3
220V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 220,nan,desconocida,pendiente,3
221R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 221,nan,desconocida,pendiente,3
221V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 221,nan,desconocida,pendiente,3
222R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 222,nan,desconocida,pendiente,3
222V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 222,nan,desconocida,pendiente,3
223R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 223,nan,desconocida,pendiente,3
223V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 223,nan,desconocida,pendiente,3
224R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 224,nan,desconocida,pendiente,3
224V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 224,nan,desconocida,pendiente,3
225R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 225,nan,desconocida,pendiente,3
225V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 225,nan,desconocida,pendiente,3
226R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 226,nan,desconocida,pendiente,3
226V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 226,nan,desconocida,pendiente,3
227R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 227,nan,desconocida,pendiente,3
227V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 227,nan,desconocida,pendiente,3
228R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 228,nan,desconocida,pendiente,3
228V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 228,nan,desconocida,pendiente,3
229R,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 229,nan,desconocida,pendiente,3
229V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 229,nan,desconocida,pendiente,3
230R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 230,nan,desconocida,pendiente,3
230V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 230,nan,desconocida,pendiente,3
231R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 231,nan,desconocida,pendiente,3
231V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 231,nan,desconocida,pendiente,3
232R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 232,nan,desconocida,pendiente,3
232V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 232,nan,desconocida,pendiente,3
233R,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 233,nan,desconocida,pendiente,3
233V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 233,nan,desconocida,pendiente,3
234R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 234,nan,desconocida,pendiente,3
234V,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 234,nan,desconocida,pendiente,3
235R,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 235,nan,desconocida,pendiente,3
235V,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 235,nan,desconocida,pendiente,3
236R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 236,nan,desconocida,pendiente,3
236V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 236,nan,desconocida,pendiente,3
237R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 237,nan,desconocida,pendiente,3
237V,Melissa officinalis,Protocolos para enfermedades graves - protocolo folio 237,nan,desconocida,pendiente,3
238R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 238,nan,desconocida,pendiente,3
238V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 238,nan,desconocida,pendiente,3
239R,Passiflora incarnata,Protocolos para enfermedades graves - protocolo folio 239,nan,desconocida,pendiente,3
239V,Hypericum perforatum,Protocolos para enfermedades graves - protocolo folio 239,nan,desconocida,pendiente,3
240R,Valeriana officinalis,Protocolos para enfermedades graves - protocolo folio 240,nan,desconocida,pendiente,3
240V,Papaver somniferum,Protocolos para enfermedades graves - protocolo folio 240,nan,desconocida,pendiente,3
